"variable","n_missing","n_cases","percent_missing"
"outcome",446,2998,14.8765843895931
"concomitant_medication",373,2998,12.4416277518346
"administration_date",326,2998,10.8739159439626
"batch_id",312,2998,10.4069379586391
"off_label_use",307,2998,10.2401601067378
"neutered",281,2998,9.37291527685123
"onset_date",240,2998,8.00533689126084
"weight_kg",238,2998,7.93862575050033
"age_years",193,2998,6.43762508338893
"sex",121,2998,4.03602401601067
"record_id",0,2998,0
"case_id",0,2998,0
"case_version",0,2998,0
"initial_received_date",0,2998,0
"version_received_date",0,2998,0
"product_id",0,2998,0
"species",0,2998,0
"country",0,2998,0
"primary_event",0,2998,0
"serious",0,2998,0
"seriousness_reason",0,2998,0
"reporter_type",0,2998,0
