"month","product_id","n_reports","doses_distributed","reports_per_100k_doses","reporting_ratio_lower","reporting_ratio_upper"
2023-01-01,"SYN_A",24,89357,26.8585561287868,17.2087837043393,39.9634025244281
2023-02-01,"SYN_A",26,102406,25.3891373552331,16.5850274550284,37.2009687744127
2023-03-01,"SYN_A",22,107336,20.4963851829768,12.8449754716308,31.0317734843158
2023-04-01,"SYN_A",37,124471,29.7257995838388,20.9297061701971,40.9730990688038
2023-05-01,"SYN_A",41,137155,29.893186540775,21.451866770045,40.5534829687105
2023-06-01,"SYN_A",31,128772,24.0735563631845,16.3568135768194,34.1704916466691
2023-07-01,"SYN_A",47,137716,34.1282058729559,25.0761219953134,45.383278878741
2023-08-01,"SYN_A",36,125008,28.7981569179573,20.1698750618482,39.8687879889577
2023-09-01,"SYN_A",32,111261,28.7612011396626,19.672640288407,40.6022344571957
2023-10-01,"SYN_A",28,104728,26.7359254449622,17.7658282941119,38.6408562593272
2023-11-01,"SYN_A",24,97805,24.538622769797,15.722358626539,36.5115255802395
2023-12-01,"SYN_A",27,94858,28.463598220498,18.7576905814636,41.4130410141075
2024-01-01,"SYN_A",25,92714,26.9646439588412,17.4500958300034,39.8051337419703
2024-02-01,"SYN_A",18,109596,16.4239570787255,9.73387786087041,25.9569329788751
2024-03-01,"SYN_A",27,118490,22.786733057642,15.0166006682123,33.153500249103
2024-04-01,"SYN_A",35,135732,25.7861079185454,17.9609689701174,35.8622339382629
2024-05-01,"SYN_A",38,145504,26.1161205190235,18.4813212318535,35.8464158506018
2024-06-01,"SYN_A",34,145891,23.3050702236601,16.1394386114101,32.5664997122531
2024-07-01,"SYN_A",37,144091,25.6782172377178,18.0798346649729,35.3940399760782
2024-08-01,"SYN_A",41,139818,29.3238352715673,21.0432904693639,39.7810936830272
2024-09-01,"SYN_A",33,128823,25.6165436296314,17.633249941959,35.9751513853654
2024-10-01,"SYN_A",23,119030,19.3228597832479,12.2490355683817,28.9937771106721
2024-11-01,"SYN_A",28,109209,25.638912543838,17.0368711881416,37.0553671796905
2024-12-01,"SYN_A",30,103278,29.0478126997037,19.5984372484178,41.4675588167932
2025-01-01,"SYN_A",30,104143,28.8065448469892,19.435654841344,41.1231339550499
2025-02-01,"SYN_A",26,112798,23.050054078973,15.0570606000074,33.7736698196112
2025-03-01,"SYN_A",31,130890,23.6840094736038,16.0921353649185,33.6175609315064
2025-04-01,"SYN_A",35,146498,23.891111141449,16.6410342820515,33.2267521529871
2025-05-01,"SYN_A",52,154502,33.6565222456667,25.1363006307111,44.136051145534
2025-06-01,"SYN_A",45,162233,27.7378831680361,20.2322023190316,37.1154700319656
2025-07-01,"SYN_A",35,154458,22.6598816506753,15.7834378293904,31.5144099814079
