"month","product_id","species","country","doses_distributed","n_reports","reports_per_100k_doses"
2023-01-01,"SYN_A","Cat","DE",9340,1,10.7066381156317
2023-02-01,"SYN_A","Cat","DE",9759,2,20.4939030638385
2023-03-01,"SYN_A","Cat","DE",10122,2,19.7589409207666
2023-04-01,"SYN_A","Cat","DE",12102,4,33.0523880350355
2023-05-01,"SYN_A","Cat","DE",14294,2,13.99188470687
2023-06-01,"SYN_A","Cat","DE",12466,3,24.0654580458848
2023-07-01,"SYN_A","Cat","DE",13146,4,30.4275064658451
2023-08-01,"SYN_A","Cat","DE",13158,2,15.1998784009728
2023-09-01,"SYN_A","Cat","DE",12078,4,33.1180659049512
2023-10-01,"SYN_A","Cat","DE",10326,3,29.0528762347472
2023-11-01,"SYN_A","Cat","DE",9095,0,0
2023-12-01,"SYN_A","Cat","DE",8962,3,33.4746708324035
2024-01-01,"SYN_A","Cat","DE",9531,2,20.9841569614941
2024-02-01,"SYN_A","Cat","DE",11111,1,9.00009000090001
2024-03-01,"SYN_A","Cat","DE",11339,2,17.6382397036776
2024-04-01,"SYN_A","Cat","DE",14549,4,27.4932985084886
2024-05-01,"SYN_A","Cat","DE",13473,2,14.8445038224597
2024-06-01,"SYN_A","Cat","DE",16231,3,18.4831495286797
2024-07-01,"SYN_A","Cat","DE",15793,5,31.6595960235547
2024-08-01,"SYN_A","Cat","DE",14917,4,26.8150432392572
2024-09-01,"SYN_A","Cat","DE",13949,3,21.5069180586422
2024-10-01,"SYN_A","Cat","DE",10977,1,9.10995718320124
2024-11-01,"SYN_A","Cat","DE",11196,3,26.7952840300107
2024-12-01,"SYN_A","Cat","DE",10483,3,28.6177620910045
2025-01-01,"SYN_A","Cat","DE",11426,3,26.2559075792053
2025-02-01,"SYN_A","Cat","DE",11762,4,34.0078217990138
2025-03-01,"SYN_A","Cat","DE",12290,5,40.6834825061025
2025-04-01,"SYN_A","Cat","DE",14553,0,0
2025-05-01,"SYN_A","Cat","DE",17288,6,34.706154558075
2025-06-01,"SYN_A","Cat","DE",17425,4,22.9555236728838
2025-07-01,"SYN_A","Cat","DE",17633,2,11.342369420972
2025-08-01,"SYN_A","Cat","DE",16697,7,41.9236988680601
2025-09-01,"SYN_A","Cat","DE",13679,3,21.9314277359456
2025-10-01,"SYN_A","Cat","DE",13030,1,7.67459708365311
2025-11-01,"SYN_A","Cat","DE",11056,1,9.04486251808972
2025-12-01,"SYN_A","Cat","DE",10945,2,18.2731841023298
2023-01-01,"SYN_A","Cat","GB",8529,1,11.7247039512252
2023-02-01,"SYN_A","Cat","GB",8179,0,0
2023-03-01,"SYN_A","Cat","GB",10532,2,18.9897455374098
2023-04-01,"SYN_A","Cat","GB",10743,4,37.233547426231
2023-05-01,"SYN_A","Cat","GB",12343,5,40.5087904075184
2023-06-01,"SYN_A","Cat","GB",11108,2,18.0050414115952
2023-07-01,"SYN_A","Cat","GB",11441,8,69.9239576960056
2023-08-01,"SYN_A","Cat","GB",12134,1,8.24130542277897
2023-09-01,"SYN_A","Cat","GB",11084,4,36.0880548538434
2023-10-01,"SYN_A","Cat","GB",9494,2,21.0659363808721
2023-11-01,"SYN_A","Cat","GB",8834,2,22.6398007697532
2023-12-01,"SYN_A","Cat","GB",8651,3,34.6780718992024
2024-01-01,"SYN_A","Cat","GB",8877,3,33.7952010814464
2024-02-01,"SYN_A","Cat","GB",10424,0,0
2024-03-01,"SYN_A","Cat","GB",10362,1,9.65064659332175
2024-04-01,"SYN_A","Cat","GB",11369,3,26.3875450787228
2024-05-01,"SYN_A","Cat","GB",11647,3,25.7577058469992
2024-06-01,"SYN_A","Cat","GB",13406,3,22.3780396837237
2024-07-01,"SYN_A","Cat","GB",12880,0,0
2024-08-01,"SYN_A","Cat","GB",11428,0,0
2024-09-01,"SYN_A","Cat","GB",10466,0,0
2024-10-01,"SYN_A","Cat","GB",9453,2,21.1573045593991
2024-11-01,"SYN_A","Cat","GB",9247,3,32.4429544717206
2024-12-01,"SYN_A","Cat","GB",8724,3,34.3878954607978
2025-01-01,"SYN_A","Cat","GB",8810,3,34.0522133938706
2025-02-01,"SYN_A","Cat","GB",9716,5,51.4615067929189
2025-03-01,"SYN_A","Cat","GB",11425,3,26.2582056892779
2025-04-01,"SYN_A","Cat","GB",12711,2,15.7344032727559
2025-05-01,"SYN_A","Cat","GB",12652,5,39.5194435662346
2025-06-01,"SYN_A","Cat","GB",14077,7,49.7265042267529
2025-07-01,"SYN_A","Cat","GB",14517,2,13.7769511607081
2025-08-01,"SYN_A","Cat","GB",12279,2,16.2879713331705
2025-09-01,"SYN_A","Cat","GB",12752,6,47.0514429109159
2025-10-01,"SYN_A","Cat","GB",11012,2,18.1620050853614
2025-11-01,"SYN_A","Cat","GB",9531,7,73.4445493652292
2025-12-01,"SYN_A","Cat","GB",10501,3,28.5687077421198
2023-01-01,"SYN_A","Cat","US",15243,5,32.801941874959
2023-02-01,"SYN_A","Cat","US",20090,7,34.8432055749129
2023-03-01,"SYN_A","Cat","US",20499,2,9.75657349138982
2023-04-01,"SYN_A","Cat","US",24152,9,37.2639947002319
2023-05-01,"SYN_A","Cat","US",26409,7,26.5061153394676
2023-06-01,"SYN_A","Cat","US",25871,5,19.3266591936918
2023-07-01,"SYN_A","Cat","US",26774,8,29.8797340703668
2023-08-01,"SYN_A","Cat","US",22310,6,26.8937696100403
2023-09-01,"SYN_A","Cat","US",19645,3,15.271061338763
2023-10-01,"SYN_A","Cat","US",21453,4,18.6454108982427
2023-11-01,"SYN_A","Cat","US",19534,5,25.5963960274393
2023-12-01,"SYN_A","Cat","US",17645,6,34.0039671294984
2024-01-01,"SYN_A","Cat","US",16732,7,41.8360028687545
2024-02-01,"SYN_A","Cat","US",20468,4,19.5427008012507
2024-03-01,"SYN_A","Cat","US",22753,5,21.9751241594515
2024-04-01,"SYN_A","Cat","US",26634,6,22.5275963054742
2024-05-01,"SYN_A","Cat","US",24822,5,20.1434211586496
2024-06-01,"SYN_A","Cat","US",27906,4,14.3338350175589
2024-07-01,"SYN_A","Cat","US",28790,5,17.3671413685307
2024-08-01,"SYN_A","Cat","US",27856,6,21.5393452039058
2024-09-01,"SYN_A","Cat","US",26101,7,26.8188958277461
2024-10-01,"SYN_A","Cat","US",22423,7,31.2179458591625
2024-11-01,"SYN_A","Cat","US",19379,8,41.281799886475
2024-12-01,"SYN_A","Cat","US",21182,6,28.3259371164196
2025-01-01,"SYN_A","Cat","US",18439,5,27.1164379847063
2025-02-01,"SYN_A","Cat","US",22265,4,17.9654165730968
2025-03-01,"SYN_A","Cat","US",23309,3,12.8705650178043
2025-04-01,"SYN_A","Cat","US",24983,11,44.0299403594444
2025-05-01,"SYN_A","Cat","US",29065,10,34.4056425253742
2025-06-01,"SYN_A","Cat","US",30692,12,39.0981363221686
2025-07-01,"SYN_A","Cat","US",28308,5,17.6628514907447
2025-08-01,"SYN_A","Cat","US",27289,4,14.6579207739382
2025-09-01,"SYN_A","Cat","US",23886,2,8.37310558486143
2025-10-01,"SYN_A","Cat","US",23946,13,54.2888165038002
2025-11-01,"SYN_A","Cat","US",23488,12,51.0899182561308
2025-12-01,"SYN_A","Cat","US",22676,10,44.099488445934
2023-01-01,"SYN_A","Dog","DE",15155,3,19.7954470471791
2023-02-01,"SYN_A","Dog","DE",17945,4,22.2903315686821
2023-03-01,"SYN_A","Dog","DE",17500,5,28.5714285714286
2023-04-01,"SYN_A","Dog","DE",21901,5,22.8300077622026
2023-05-01,"SYN_A","Dog","DE",22269,12,53.8865687727334
2023-06-01,"SYN_A","Dog","DE",20955,5,23.8606537819136
2023-07-01,"SYN_A","Dog","DE",22068,3,13.5943447525829
2023-08-01,"SYN_A","Dog","DE",22619,5,22.1053096953888
2023-09-01,"SYN_A","Dog","DE",19464,4,20.550760378134
2023-10-01,"SYN_A","Dog","DE",17733,7,39.474426211019
2023-11-01,"SYN_A","Dog","DE",17524,5,28.5322985619722
2023-12-01,"SYN_A","Dog","DE",14567,1,6.86483146838745
2024-01-01,"SYN_A","Dog","DE",15084,5,33.1477061787324
2024-02-01,"SYN_A","Dog","DE",18177,1,5.50145788633988
2024-03-01,"SYN_A","Dog","DE",18677,2,10.7083578733201
2024-04-01,"SYN_A","Dog","DE",22101,3,13.5740464232388
2024-05-01,"SYN_A","Dog","DE",24971,5,20.0232269432542
2024-06-01,"SYN_A","Dog","DE",23332,5,21.4297959883422
2024-07-01,"SYN_A","Dog","DE",22190,5,22.5326723749437
2024-08-01,"SYN_A","Dog","DE",24677,11,44.5759208980022
2024-09-01,"SYN_A","Dog","DE",21099,4,18.9582444665624
2024-10-01,"SYN_A","Dog","DE",20822,3,14.4078378637979
