"record_id","case_id","case_version","initial_received_date","version_received_date","product_id","species","country","age_years","weight_kg","sex","neutered","administration_date","onset_date","primary_event","serious","seriousness_reason","outcome","reporter_type","batch_id","concomitant_medication","off_label_use","reporting_month","reporting_year","reporting_half","reporting_period"
"SYNCASE_002415_V1","SYNCASE_002415",1,2025-07-02,2025-07-02,"SYN_A","Dog","US",12.3,41.7,"Male","No",2025-06-01,2025-06-03,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B3","No","Yes",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002408_V1","SYNCASE_002408",1,2025-07-05,2025-07-05,"SYN_A","Dog","US",4.4,39.8,"Male","Yes",,2025-06-20,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B1","No","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002434_V1","SYNCASE_002434",1,2025-07-05,2025-07-05,"SYN_A","Cat","DE",3.8,4.7,"Female","Yes",2025-06-03,2025-06-11,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q3_B1","Yes","Unknown",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002423_V1","SYNCASE_002423",1,2025-07-09,2025-07-09,"SYN_A","Dog","DE",4.6,30.3,"Female","Yes",2025-07-06,2025-07-07,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q3_B1","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002410_V1","SYNCASE_002410",1,2025-07-10,2025-07-10,"SYN_A","Dog","US",12.1,44.4,"Male","Unknown",2025-06-14,2025-06-28,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B3","Yes","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002416_V1","SYNCASE_002416",1,2025-07-13,2025-07-13,"SYN_A","Dog","GB",6.3,14,"Female","Yes",2025-06-30,2025-07-10,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q3_B1","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002433_V1","SYNCASE_002433",1,2025-07-17,2025-07-17,"SYN_A","Cat","DE",10.5,7.8,"Male","Yes",2025-06-21,,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B1","No","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002400_V1","SYNCASE_002400",1,2025-07-19,2025-07-19,"SYN_A","Dog","US",13.9,17.4,"Female","Yes",2025-07-05,2025-07-05,"Vomiting","Yes","Death","Died","Owner","SYN_A_2025Q3_B3","Yes","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002431_V1","SYNCASE_002431",1,2025-07-20,2025-07-20,"SYN_A","Cat","GB",9.3,7.2,"Female","No",2025-07-18,2025-07-19,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q3_B1","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002424_V1","SYNCASE_002424",1,2025-07-21,2025-07-21,"SYN_A","Dog","DE",14.1,6.8,"Female","No",2025-07-18,2025-07-18,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B2","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002420_V2","SYNCASE_002420",2,2025-07-22,2025-08-21,"SYN_A","Dog","GB",10.9,32.6,"Female","Yes",2025-06-18,2025-06-22,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B1","No","Yes",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002406_V1","SYNCASE_002406",1,2025-07-24,2025-07-24,"SYN_A","Dog","US",6.2,5.9,"Female","Yes",2025-06-16,2025-06-29,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B1","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002417_V1","SYNCASE_002417",1,2025-07-24,2025-07-24,"SYN_A","Dog","GB",3.4,20,"Male","Yes",2025-07-10,2025-07-13,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B3","No","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002422_V1","SYNCASE_002422",1,2025-07-29,2025-07-29,"SYN_A","Dog","DE",0.4,24.4,"Male","Unknown",2025-07-05,2025-07-11,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B1","Yes","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002425_V1","SYNCASE_002425",1,2025-07-30,2025-07-30,"SYN_A","Dog","DE",5.4,,"Female","Yes",2025-06-27,2025-07-02,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q3_B2","Unknown","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002402_V1","SYNCASE_002402",1,2025-07-31,2025-07-31,"SYN_A","Dog","US",7,23,"Male","Yes",2025-07-18,2025-07-25,"Vomiting","No","Not applicable","Not recovered","Veterinarian","SYN_A_2025Q3_B3","No","No",2025-07-01,2025,"H2","2025_H2"
"SYNCASE_002544_V1","SYNCASE_002544",1,2025-08-01,2025-08-01,"SYN_A","Cat","DE",8.7,7.1,"Male","No",2025-07-01,2025-07-09,"Vomiting","No","Not applicable","Unknown","Owner",,"No","No",2025-08-01,2025,"H2","2025_H2"
